conference	authors	title	year	DOI
arXiv preprint arXiv:2207.11082	Matias Martinez, Maria Kechagia, Anjana Perera, Justyna Petke, Federica Sarro, and Aldeida Aleti	Test-based Patch Clustering for Automatically-Generated Patches Assessment	2022	NOT_FOUND
arXiv preprint arXiv:2211.12104	Matias Martinez, Silverio Martínez-Fernéndez, and Xavier Franch	Energy Consumption of Automated Program Repair	2022	NOT_FOUND
Proceedings of the 44th International Conference on Software Engineering	Xiangxin Meng, Xu Wang, Hongyu Zhang, Hailong Sun, and Xudong Liu	Improving fault localization and program repair with deep semantic features and transferred knowledge	2022	10.1145/3510003.3510147
Empirical Software Engineering	Marjane Namavar, Noor Nashid, and Ali Mesbah	A controlled experiment of different code representations for learning-based program repair	2022	10.1007/s10664-022-10223-5
arXiv preprint arXiv:2204.04856	Chao Ni, Kaiwen Yang, Xin Xia, David Lo, Xiang Chen, and Xiaohu Yang	Defect Identification, Categorization, and Repair: Better Together	2022	NOT_FOUND
Proceedings of ICSE	Yannic Noller, Ridwan Shariffdeen, Xiang Gao, and Abhik Roychoudhury	Trust Enhancement Issues in Program Repair	2022	10.1145/3510003.3510040
2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)	Martin Odermatt, Diego Marcilio, and Carlo A Furia	Static Analysis Warnings and Automatic Fixing: A Replication for C# Projects	2022	NOT_FOUND
Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Wonseok Oh and Hakjoo Oh	PyTER: effective program repair for Python type errors	2022	10.1145/3540250.3549130
IEEE Access	Quang-Ngoc Phung, Misoo Kim, and Eunseok Lee	Identifying Incorrect Patches in Program Repair Based on Meaning of Source Code	2022	10.1109/access.2022.3145983
Proceedings of the Genetic and Evolutionary Computation Conference	Pemma Reiter, Antonio M Espinoza, Adam Doupé, Ruoyu Wang, Westley Weimer, and Stephanie Forrest	Improving source-code representations to enhance search-based software repair	2022	10.1145/3512290.3528864
arXiv preprint arXiv:2202.12336	Pemma Reiter, Hui Jun Tay, Westley Weimer, Adam Doupé, Ruoyu Wang, and Stephanie Forrest	Automatically Mitigating Vulnerabilities in x86 Binary Programs via Partially Recompilable Decompilation	2022	NOT_FOUND
Proceedings of the 44th International Conference on Software Engineering	Zhilei Ren, Shiwei Sun, Jifeng Xuan, Xiaochen Li, Zhide Zhou, and He Jiang	Automated Patching for Unreproducible Builds	2022	10.1145/3510003.3510102
2022 IEEE/ACM International Workshop on Automated Program Repair (APR)	Francisco Ribeiro, Rui Abreu, and João Saraiva	Framing Program Repair as Code Completion	2022	NOT_FOUND
Proceedings of the ACM on Programming Languages	Georgios Sakkas, Madeline Endres, Philip J Guo, Westley Weimer, and Ranjit Jhala	Seq2Parse: neurosymbolic parse error repair	2022	10.1145/3563330
International Conference on Tools and Algorithms for the Construction and Analysis of Systems	Lei Shi, Yuepeng Wang, Rajeev Alur, and Boon Thau Loo	Automatic Repair for Network Programs	2022	10.1007/978-3-030-99527-0_19
arXiv preprint arXiv:2205.00180	Mifta Sintaha, Noor Nashid, and Ali Mesbah	Katana: Dual Slicing-Based Context for Learning Bug Fixes	2022	NOT_FOUND
arXiv preprint arXiv:2208.04125	Haoye Tian, Xunzhu Tang, Andrew Habib, Shangwen Wang, Kui Liu, Xin Xia, Jacques Klein, and Tegawendé F Bissyandé	Is this Change the Answer to that Problem? Correlating Descriptions of Bug and Code Changes for Evaluating Patch Correctness	2022	10.1145/3551349.3556914
Proceedings of ASE	Palina Tolmach, Yi Li, and Shang-Wei Lin	Property-Based Automated Repair of DeFi Protocols	2022	10.1145/3551349.3559560
Science of Computer Programming	Yuki Ueda, Takashi Ishio, and Kenichi Matsumoto	DevReplay: Linter that Generates Regular Expressions for Repeating Code Changes	2022	10.1016/j.scico.2022.102857
arXiv preprint arXiv:2207.06590	Yuehan Wang, Jun Yang, Yiling Lou, Ming Wen, and Lingming Zhang	Attention: Not Just Another Dataset for Patch-Correctness Checking	2022	NOT_FOUND
IEEE Transactions on Software Engineering	Emily Rowan Winter, Vesna Nowack, David Bowes, Steve Counsell, Tracy Hall, Saemundur O Haraldsson, and John Woodward	Let's Talk With Developers, Not About Developers: A Review of Automatic Program Repair Research	2022	NOT_FOUND
Information and Software Technology	Dangwei Wu, Beijun Shen, Yuting Chen, He Jiang, and Lei Qiao	Automatically repairing tensor shape faults in deep learning programs	2022	NOT_FOUND
arXiv preprint arXiv:2210.14179	Chunqiu Steven Xia, Yuxiang Wei, and Lingming Zhang	Practical Program Repair in the Era of Large Pre-trained Language Models	2022	NOT_FOUND
Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	Chunqiu Steven Xia and Lingming Zhang	Less training, more repairing please: revisiting automated program repair via zero-shot learning	2022	10.1145/3540250.3549101
2022 IEEE/ACM International Symposium on Code Generation and Optimization (CGO)	Xuezheng Xu, Xudong Wang, and Jingling Xue	M3V: Multi-modal Multi-view Context Embedding for Repair Operator Prediction	2022	10.1109/cgo53902.2022.9741261
Information and Software Technology	Dapeng Yan, Kui Liu, Yuqing Niu, Li Li, Zhe Liu, Zhiming Liu, Jacques Klein, and Tegawendé F Bissyandé	Crex: Predicting patch correctness in automated repair of C programs through transfer learning of execution semantics	2022	10.1016/j.infsof.2022.107043
37th IEEE/ACM International Conference on Automated Software Engineering	Deheng Yang, Xiaoguang Mao, Liqian Chen, Xuezheng Xu, Yan Lei, David Lo, and Jiayu He	TransplantFix: Graph Differencing-based Code Transplantation for Automated Program Repair	2022	10.1145/3551349.3556893
Proceedings of ASE	He Ye, Matias Martinez, Xiapu Luo, Tao Zhang, and Martin Monperrus	SelfAPR: Self-supervised Program Repair with Test Execution Diagnostics	2022	10.1145/3551349.3556926
Information and Software Technology	Jooyong Yi and Elkhan Ismayilzada	Speeding up constraint-based program repair using a search-based technique	2022	10.1016/j.infsof.2022.106865
Proceedings of the 31st ACM SIGSOFT International Symposium on Software Testing and Analysis	Wei Yuan, Quanjun Zhang, Tieke He, Chunrong Fang, Nguyen Quoc Viet Hung, Xiaodong Hao, and Hongzhi Yin	CIRCLE: Continual Repair across Programming Languages	2022	10.1145/3533767.3534219
PhD thesis. New Jersey Institute of Technology	Aleksandr Zakharchenko	A practical approach to automated software correctness enhancement	2022	NOT_FOUND
arXiv preprint arXiv:2209.14876	Jialu Zhang, José Cambronero, Sumit Gulwani, Vu Le, Ruzica Piskac, Gustavo Soares, and Gust Verbruggen	Repairing Bugs in Python Assignments Using Large Language Models	2022	NOT_FOUND
arXiv preprint arXiv:2203.05166	Quanjun Zhang, Yuan Zhao, Weisong Sun, Chunrong Fang, Ziyuan Wang, and Lingming Zhang	Program Repair: Automated vs. Manual	2022	NOT_FOUND
arXiv preprint arXiv:2203.09009	Ying Zhang, Ya Xiao, Md Mahir Asef Kabir, Na Meng, et al	Example-Based Vulnerability Detection and Repair in Java Code	2022	10.1145/3524610.3527895
37th IEEE/ACM International Conference on Automated Software Engineering	Wenkang Zhong, Hongliang Ge, Hongfei Ai, Chuanyi Li, Kui Liu, Jidong Ge, and Bin Luo	StandUp4NPR: Standardizing SetUp for Empirically Comparing Neural Program Repair Systems	2022	10.1145/3551349.3556943
arXiv preprint arXiv:2202.10868	Wenkang Zhong, Chuanyi Li, Jidong Ge, and Bin Luo	Neural Program Repair: Systems, Challenges and Solutions	2022	NOT_FOUND
Empirical Software Engineering	Zhou Zhou, Lili Bo, Xiaoxue Wu, Xiaobing Sun, Tao Zhang, Bin Li, Jiale Zhang, and Sicong Cao	SPVF: security property assisted vulnerability fixing via attention-based models	2022	10.1007/s10664-022-10216-4
arXiv preprint arXiv:2212.11414	Armin Zirak and Hadi Hemati	Improving Automated Program Repair with Domain Adaptation	2022	NOT_FOUND
Proceedings of the ACM on Programming Languages	Daming Zou, Yuchen Gu, Yuanfeng Shi, MingZhe Wang, Yingfei Xiong, and Zhendong Su	Oracle-free repair synthesis for floating-point programs	2022	10.1145/3563322
arXiv preprint arXiv:2305.10092	Joachim Bard, Swen Jacobs, and Yakir Vizel	Automatic and Incremental Repair for Speculative Information Leaks	2023	NOT_FOUND
arXiv preprint arXiv:2304.12743	Islem Bouzenia, Yangruibo Ding, Kexin Pei, Baishakhi Ray, and Michael Pradel	TraceFixer: Execution Trace-Driven Program Repair	2023	NOT_FOUND
arXiv preprint arXiv:2305.14752	Yiannis Charalambous, Norbert Tihanyi, Ridhi Jain, Youcheng Sun, Mohamed Amine Ferrag, and Lucas C Cordeiro	A New Era in Software Security: Towards Self-Healing Software via Large Language Models and Formal Verification	2023	NOT_FOUND
IEEE Transactions on Software Engineering	Thanh Le-Cong, Duc-Minh Luong, Xuan Bach D Le, David Lo, Nhat-Hoa Tran, Bui Quang-Huy, and Quyet-Thang Huynh	Invalidator: Automated patch correctness assessment via semantic and syntactic reasoning	2023	10.1109/tse.2023.3255177
arXiv preprint arXiv:2302.01707	Thomas Durieux	Parfum: Detection and Automatic Repair of Dockerfile Smells	2023	NOT_FOUND
Proceedings of ICSE	Zhiyu Fan, Xiang Gao, Abhik Roychoudhury, and Shin Hwei Tan	Automated Repair of Programs from Large Language Models	2023	10.1109/icse48619.2023.00128
arXiv preprint arXiv:2305.16615	Michael Fu, Chakkrit Tantithamthavorn, Trung Le, Yuki Kume, Van Nguyen, Dinh Phung, and John Grundy	AIBugHunter: A Practical Tool for Predicting, Classifying and Repairing Software Vulnerabilities	2023	10.1007/s10664-023-10346-3
arXiv preprint arXiv:2303.18184	Kai Huang, Zhengzi Xu, Su Yang, Hongyu Sun, Xuejun Li, Zheng Yan, and Yuqing Zhang	A Survey on Automated Program Repair Techniques	2023	NOT_FOUND
arXiv preprint arXiv:2305.07287	Dominik Huber, Matteo Paltenghi, and Michael Pradel	Where to Look When Repairing Code? Comparing the Attention of Neural Models and Developers	2023	NOT_FOUND
2023 IEEE Conference on Software Testing, Verification and Validation (ICST)	João Inécio and Ibéria Medeiros	CorCA: An Automatic Program Repair Tool for Checking and Removing Effectively C Flaws	2023	10.1109/icst57152.2023.00016
arXiv preprint arXiv:2307.12465	Naman Jain, Shubham Gandhi, Atharv Sonwane, Aditya Kanade, Nagarajan Natarajan, Suresh Parthasarathy, Sriram Rajamani, and Rahul Sharma	StaticFixer: From Static Analysis to Static Repair	2023	NOT_FOUND
Proceedings of ICSE	Nan Jiang, Kevin Liu, Thibaud Lutellier, and Lin Tan	Impact of Code Language Models on Automated Program Repair	2023	10.1109/icse48619.2023.00125
arXiv preprint arXiv:2302.01857	Nan Jiang, Thibaud Lutellier, Yiling Lou, Lin Tan, Dan Goldwasser, and Xiangyu Zhang	KNOD: Domain Knowledge Distilled Tree Decoder for Automated Program Repair	2023	10.1109/icse48619.2023.00111
arXiv preprint arXiv:2303.07263	Matthew Jin, Syed Shahriar, Michele Tufano, Xin Shi, Shuai Lu, Neel Sundaresan, and Alexey Svyatkovskiy	InferFix: End-to-End Program Repair with LLMs	2023	10.1145/3611643.3613892
2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)	Xiangxin Meng, Xu Wang, Hongyu Zhang, Hailong Sun, Xudong Liu, and Chunming Hu	Template-based Neural Program Repair	2023	10.1109/icse48619.2023.00127
International Conference on Software Engineering (ICSE)	Manish Motwani and Yuriy Brun	Better Automatic Program Repair by Using Bug Reports and Tests Together	2023	10.1109/icse48619.2023.00109
arXiv preprint arXiv:2304.10379	Ruba Mutasim, Gabriel Synnaeve, David Pichardie, and Baptiste Rozière	Leveraging Static Analysis for Bug Repair	2023	NOT_FOUND
Proceedings of ICST	Noor Nashid, Mifta Sintaha, and Ali Mesbah	Embedding Context as Code Dependencies for Neural Program Repair	2023	10.1109/icst57152.2023.00018
2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)	Nikhil Parasaram, Earl T Barr, and Sergey Mechtaev	Rete: Learning Namespace Representation for Program Repair	2023	10.1109/icse48619.2023.00112
arXiv preprint arXiv:2305.08592	Yu Pei, Jeongju Sohn, Sarra Habchi, and Mike Papadakis	TRaf: Time-based Repair for Asynchronous Wait Flaky Tests in Web Testing	2023	NOT_FOUND
arXiv preprint arXiv:2306.01394	Yun Peng, Shuzheng Gao, Cuiyun Gao, Yintong Huo, and Michael R Lyu	Domain Knowledge Matters: Improving Prompts with Fix Templates for Repairing Python Type Errors	2023	NOT_FOUND
arXiv preprint arXiv:2304.01102	Julian Aron Prenner and Romain Robbes	RunBugRun-An Executable Dataset for Automated Program Repair	2023	NOT_FOUND
arXiv preprint arXiv:2304.02301	André Silva, João F Ferreira, He Ye, and Martin Monperrus	MUFIN: Improving Neural Repair Models with Back-Translation	2023	NOT_FOUND
Tech. rep.	Dominik Sobania, Martin Briesch, Carol Hanna, and Justyna Petke	An Analysis of the Automatic Bug Fixing Performance of ChatGPT	2023	10.1109/apr59189.2023.00012
PhD thesis. Nanyang Technological University	Palina Tolmach	Securing smart contracts with formal verification and automated program repair	2023	NOT_FOUND
arXiv preprint arXiv:2305.18607	Yi Wu, Nan Jiang, Hung Viet Pham, Thibaud Lutellier, Jordan Davis, Lin Tan, Petr Babkin, and Sameena Shah	How Effective Are Neural Networks for Fixing Security Vulnerabilities	2023	10.1145/3597926.3598135
arXiv preprint arXiv:2303.10494	Chunqiu Steven Xia, Yifeng Ding, and Lingming Zhang	Revisiting the Plastic Surgery Hypothesis via Large Language Models	2023	NOT_FOUND
Proceedings of the 45th International Conference on Software Engineering (ICSE 2023)	Chunqiu Steven Xia, Yuxiang Wei, and Lingming Zhang	Automated program repair in the era of large pre-trained language models	2023	10.1109/icse48619.2023.00129
arXiv preprint arXiv:2304.00385	Chunqiu Steven Xia and Lingming Zhang	CKeep the Conversation Going: Fixing 162 out of 337 bugs for $0.42 each using ChatGPT	2023	NOT_FOUND
arXiv preprint arXiv:2301.13246	Chunqiu Steven Xia and Lingming Zhang	Conversational automated program repair	2023	NOT_FOUND
arXiv preprint arXiv:2305.03955	Yuan-An Xiao, Chenyang Yang, Bo Wang, and Yingfei Xiong	Accelerating Patch Validation for Program Repair with Interception-Based Execution Scheduling	2023	NOT_FOUND
PhD thesis. KTH Royal Institute of Technology	He Ye	Improving the Precision of Automatic Program Repair with Machine Learning	2023	NOT_FOUND
arXiv preprint arXiv:2304.12015	He Ye and Martin Monperrus	ITER: Iterative Neural Repair for Multi-Location Patches	2023	NOT_FOUND
arXiv preprint arXiv:2301.03270	Quanjun Zhang, Chunrong Fang, Yuxiang Ma, Weisong Sun, and Zhenyu Chen	A Survey of Learning-based Automated Program Repair	2023	10.1145/3631974
arXiv preprint arXiv:2301.12453	Quanjun Zhang, Chunrong Fang, Weisong Sun, Yan Liu, Tieke He, Xiaodong Hao, and Zhenyu Chen	Boosting Automated Patch Correctness Prediction via Pre-trained Language Model	2023	NOT_FOUND
arXiv preprint arXiv:2305.09315	Yuwei Zhang, Ge Li, Zhi Jin, and Ying Xing	Neural Program Repair with Program Dependence Analysis and Effective Filter Mechanism	2023	NOT_FOUND
arXiv preprint arXiv:2303.002022	Xin Zhou, Bowen Xu, Kisub Kim, DongGyun Han, Thanh Le-Cong, Junda He, Bach Le, and David Lo	PatchZero: Zero-Shot Automatic Patch Correctness Assessment	2023	NOT_FOUND
International Conference on Software Engineering (ICSE)	Qihao Zhu, Zeyu Sun, Wenjie Zhang, Yingfei Xiong, and Lu Zhang	Tare: Type-Aware Neural Program Repair	2023	NOT_FOUND
Journal of Software: Evolution and Process	Hongliang Ge, Wenkang Zhong, Chuanyi Li, Jidong Ge, Hao Hu, and Bin Luo	RobustNPR: Evaluating the robustness of neural program repair models	2023	10.1002/smr.2586
